2023-03-07T08:21:34.486Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='9410d569-1b3f-4931-ad0a-9d2e4d23e960', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177414486, refreshable=false
2023-03-07T08:21:34.505Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='0780fdae-b95d-470d-a2ff-19eaf221fa7b', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177414505, refreshable=false
2023-03-07T08:22:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='3666e547-b1c7-463a-8e6d-1577590bf93a', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177474475, refreshable=false
2023-03-07T08:22:34.488Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='5ad043ad-72b9-4df9-94d6-6ad6b84cc042', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177474488, refreshable=false
2023-03-07T08:23:34.485Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='10714246-db8b-4425-a78a-c8c379241951', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177534484, refreshable=false
2023-03-07T08:23:34.497Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='8e783d1c-def2-4014-a85d-cd3d34c7afea', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177534497, refreshable=false
2023-03-07T08:24:23.586Z [AUDIT] Token created by 'jffe@000': tokenId='bfbbc90e-589f-4a6f-97ef-a652b3c20f49', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678178063586, refreshable=false
2023-03-07T08:24:23.587Z [AUDIT] Token created by 'jffe@000': tokenId='49718ba3-b974-471b-9703-c909922abd36', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678178063587, refreshable=false
2023-03-07T08:24:23.590Z [AUDIT] Token created by 'jffe@000': tokenId='30ede088-4f16-4637-915e-9171b54699bb', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678178063588, refreshable=false
2023-03-07T08:24:23.590Z [AUDIT] Token created by 'jffe@000': tokenId='8b07a282-8cbb-483d-af85-05abed16544f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678178063590, refreshable=false
2023-03-07T08:24:34.475Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='de545cdd-ffd1-432f-ae11-60def571a85a', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177594475, refreshable=false
2023-03-07T08:24:34.490Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='8514270b-768f-4c31-a409-4328901649ce', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177594490, refreshable=false
2023-03-07T08:25:34.485Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='348f5817-a797-43f6-88f1-e6b5af6c7d52', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177654484, refreshable=false
2023-03-07T08:25:34.498Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='13aa583c-3e18-4baf-90ef-16f1742224c4', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177654498, refreshable=false
2023-03-07T08:26:34.478Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='25b4dc75-430f-4027-990f-7b4ed839c945', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177714477, refreshable=false
2023-03-07T08:26:34.492Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='b1a37b55-7cb1-4a64-a869-a00b7944a351', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177714492, refreshable=false
2023-03-07T08:27:34.482Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='f14eda75-2b8e-40c0-a745-a84a01d12891', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177774481, refreshable=false
2023-03-07T08:27:34.497Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='a383ed73-c544-4483-bf97-edec987b33fb', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177774497, refreshable=false
2023-03-07T08:27:59.549Z [AUDIT] Token created by 'jffe@000': tokenId='5a07a08a-7cd2-4e2c-9d46-fa7e7a1e3d8f', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1678178279549, refreshable=false
2023-03-07T08:27:59.550Z [AUDIT] Token created by 'jffe@000': tokenId='afb62320-8cd7-44dd-b799-9975f75f7591', issuer='jffe@000', subject='anonymous', expiry=1678178279549, refreshable=false
2023-03-07T08:27:59.550Z [AUDIT] Token created by 'jffe@000': tokenId='b709e5b2-67c1-4ce8-be1e-229141eaa752', issuer='jffe@000', subject='anonymous', expiry=1678178279549, refreshable=false
2023-03-07T08:27:59.551Z [AUDIT] Token created by 'jffe@000': tokenId='f41da9b1-fe6b-403c-af74-5ac2f55d7289', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1678178279551, refreshable=false
2023-03-07T08:27:59.573Z [AUDIT] Token created by 'jffe@000': tokenId='f97d361a-d986-48e0-b7f6-8a7b9aca3e24', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1678178279573, refreshable=false
2023-03-07T08:27:59.576Z [AUDIT] Token created by 'jffe@000': tokenId='47a28045-18db-48ed-94db-b94ef146f3f7', issuer='jffe@000', subject='anonymous', expiry=1678178279576, refreshable=false
2023-03-07T08:27:59.761Z [AUDIT] Token created by 'jffe@000': tokenId='957a64d1-8e2b-47fd-8ae9-e2235bcd52c9', issuer='jffe@000', subject='anonymous', expiry=1678178279760, refreshable=false
2023-03-07T08:27:59.776Z [AUDIT] Token created by 'jffe@000': tokenId='5d6e8f4c-5bec-423f-a288-a68c2945bab6', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1678178279775, refreshable=false
2023-03-07T08:28:00.409Z [AUDIT] Token created by 'jffe@000': tokenId='f15d6355-5d79-4354-b536-a2ae62628c1d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678179480397, refreshable=true
2023-03-07T08:28:00.494Z [AUDIT] Token created by 'jffe@000': tokenId='401c0c44-3ae4-4901-a260-cde35ffb1ec6', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178280493, refreshable=false
2023-03-07T08:28:00.775Z [AUDIT] Token created by 'jffe@000': tokenId='a035f56b-5f41-46d1-bb5c-bf914ccf8911', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178280774, refreshable=false
2023-03-07T08:28:00.775Z [AUDIT] Token created by 'jffe@000': tokenId='c9e6a445-13e7-4dc1-824e-11babc5eee78', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178280774, refreshable=false
